Scientific.Name	countsMT	countsPT	palm	hasEctoparasite	hasEndoparasite	hostOf	isEatenBy	mutualisticWith	parasiteOf	parasitizedBy	symbiontOf	trophic.guild.x	life.span	ecoregion	photosynthetic.rate	locomotion	shade.tolerance	plant.growth.form	grass.growth.type	life.cycle.habit	Mating.System	calcareous.soil.tolerance	growth.rate	eats	motility	ectoparasite.of	ecomorphological.guild	salt.tolerance	drought.tolerance	tissue.contains	germination.requirements	fire.tolerance	developmental.mode	reproduction	Social.System	basal.metabolic.rate	nitrogen.fixation	plant.lifeform	sexual.system	parasitoid.of	pH	number.of.hosts	leaf.morphology	endoparasite.of	photosynthetic.pathway	propagule	anaerobic.soil.tolerance	trophic.level	sexually.dimorphic	litters.per.year	woodiness	has.host	dispersal.age	trophic.guild.y	Ancestry	toleranceGeneral	aquatics	dependency	advancedPhotPathway	unicellularity	HasMSH1	gsize	GCperc	NCBIcount	name	preferred.name	taxid	isEndoparasite	isEctoparasite	water	migration	thermalBiology	hostAge	waveExposed	habitat	intertidal
bemisia tabaci	13					hostOf		mutualisticWith		parasitizedBy	symbiontOf													eats			symbiont																												Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Paraneoptera | Hemiptera | Sternorrhyncha | Aleyrodoidea | Aleyrodidae | Bemisia			depend		multicellular		0.015322	24.3245	13	bemisia tabaci	bemisia tabaci	7038								tropical	
benedenia hoshinai	12								parasiteOf		symbiontOf																																											parasite	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Spiralia | Platyhelminthes | Rhabditophora | Monogenea | Capsalidae			depend		multicellular		0.013554	25.889	12	benedenia hoshinai	benedenia hoshinai	407255									
benedenia seriolae	12							mutualisticWith	parasiteOf		symbiontOf																																											parasite	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Spiralia | Platyhelminthes | Rhabditophora | Monogenea | Capsalidae | Benedenia			depend		multicellular		0.013498	24.3962	12	benedenia seriolae	benedenia seriolae	160838									
bengana rendahli	13																																																											multicellular		0.016586	41.9149	13	bengana rendahli	bengana rendahli	369625									
benthodesmus tenuis	13						isEatenBy																																																Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Chondrichthyes | Elasmobranchii | Selachii | Carcharhiniformes | Scyliorhinidae | Halaelurus					multicellular		0.016864	48.8911	13	benthodesmus tenuis	benthodesmus tenuis	1219340								freshwater	
benthodytes marianensis	13																										planktonic			high-magnesium calcite																									Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Echinodermata | Echinozoa | Holothuroidea | Elasipodida | Psychropotidae | Benthodytes					multicellular		0.017567	30.7622	13	benthodytes marianensis	benthodytes marianensis	2502088								marine benthic	
benthonectes filipes	13																										planktonic			calcium phosphate																									Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Pancrustacea | Multicrustacea | Malacostraca | Eumalacostraca | Eucarida | Decapoda | Penaeoidea | Benthesicymidae | Benthonectes					multicellular		0.017361	38.5634	13	benthonectes filipes	benthonectes filipes	649367									
berardius bairdii	13				hasEndoparasite	hostOf				parasitizedBy			1008											eats	actively mobile									viviparous														carnivore		33					"Life | Cellular | Eukaryota | SAR (Stramenopiles, Alveolates, Rhizaria) | Rhizaria | Retaria | Radiolaria | Polycystinea | Williriedellidae | Helvetocapsa"			depend		multicellular		0.016346	40.3463	13	berardius bairdii	berardius bairdii	48742								marine	
berkeleya fennica	33																																																											unicellular		0.035509	29.7192	36	berkeleya fennica	berkeleya fennica	1577906									
berthellina sp. tlt-2006	13																																																						Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Spiralia | Mollusca | Gastropoda | Pleurobranchida | Pleurobranchoidea | Pleurobranchidae					multicellular		0.015688	32.2221	13	berthellina sp. tlt-2006	berthellina sp. tlt-2006	407122								marine benthic	
