Scientific.Name	countsPT	countsMT	palm	hasEctoparasite	hasEndoparasite	hostOf	isEatenBy	mutualisticWith	parasiteOf	parasitizedBy	symbiontOf	trophic.guild.x	life.span	ecoregion	photosynthetic.rate	locomotion	shade.tolerance	plant.growth.form	grass.growth.type	life.cycle.habit	Mating.System	calcareous.soil.tolerance	growth.rate	eats	motility	ectoparasite.of	ecomorphological.guild	salt.tolerance	drought.tolerance	tissue.contains	germination.requirements	fire.tolerance	developmental.mode	reproduction	Social.System	basal.metabolic.rate	nitrogen.fixation	plant.lifeform	sexual.system	parasitoid.of	pH	number.of.hosts	leaf.morphology	endoparasite.of	photosynthetic.pathway	propagule	anaerobic.soil.tolerance	trophic.level	sexually.dimorphic	litters.per.year	woodiness	has.host	dispersal.age	trophic.guild.y	Ancestry	toleranceGeneral	aquatics	dependency	advancedPhotPathway	unicellularity	HasMSH1	gsize	GCperc	NCBIcount	name	preferred.name	taxid	isEndoparasite	isEctoparasite	water	migration	thermalBiology	hostAge	waveExposed	habitat	intertidal
haenianthus salicifolius	76																																												C3 photosynthetic plant										Unknown				C3 photosynthetic plant	multicellular		0.155928	37.695	88	haenianthus salicifolius	haenianthus salicifolius	126426									
halesia carolina	76						isEatenBy						moderate life span				high tolerance		no			low tolerance	moderate				terrestrial plant	none	low tolerance		yes	low tolerance						terrestrial plant					broad		C3 photosynthetic plant		medium (normal)				woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Ericales | Styracaceae | Halesia	tolerance			C3 photosynthetic plant	multicellular		0.159018	37.2008	85	halesia carolina	halesia carolina	85887									
halesia diptera	76							mutualisticWith									medium (normal)		no			low tolerance	moderate					none	low tolerance		no												broad				medium (normal)				woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Ericales | Styracaceae | Halesia	tolerance		depend		multicellular		0.158849	37.1869	85	halesia diptera	halesia diptera	86865									
hanguana malayana	76																										terrestrial plant											terrestrial plant					broad								herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Commelinales | Hanguanaceae | Hanguana					multicellular		0.163231	36.5476	86	hanguana malayana	hanguana malayana	94318									
hansenia forbesii	76																																																											multicellular		0.159287	37.6773	85	hansenia forbesii	hansenia forbesii	165499									
hansenia forrestii	76																																																											multicellular		0.159505	37.6515	85	hansenia forrestii	hansenia forrestii	1050841									
hansenia oviformis	76																																																											multicellular		0.157292	37.897	85	hansenia oviformis	hansenia oviformis	1978917									
hansenia weberbaueriana	76																																																											multicellular		0.158625	37.6807	85	hansenia weberbaueriana	hansenia weberbaueriana	54724									
haplostachys haplostachya	76																																																											multicellular		0.15013	38.5093	88	haplostachys haplostachya	haplostachys haplostachya	141755									
hartia laotica	76																																																											multicellular		0.158454	37.3048	86	hartia laotica	hartia laotica	2545962									
helianthus annuus	76	24					isEatenBy				symbiontOf						low tolerance		no			medium (normal)	fast				terrestrial plant	medium (normal)	medium (normal)		no	none						terrestrial plant					broad		C3 photosynthetic plant		low tolerance				herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Asterales | Asteraceae | Helianthus	tolerance		depend	C3 photosynthetic plant	multicellular	MSH1	0.151104	37.6198	85	helianthus annuus	helianthus annuus	4232									
helianthus debilis	76							mutualisticWith					moderate life span				low tolerance		no			high tolerance	slow				terrestrial plant	medium (normal)	medium (normal)		no	medium (normal)						terrestrial plant					broad				low tolerance				herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Asterales | Asteraceae | Helianthus	tolerance		depend		multicellular		0.151117	37.6106	85	helianthus debilis	helianthus debilis	73282									
helianthus decapetalus	76																																												C3 photosynthetic plant										Unknown				C3 photosynthetic plant	multicellular		0.151048	37.6	85	helianthus decapetalus	helianthus decapetalus	73283									
helianthus divaricatus	76																																																											multicellular		0.151045	37.6113	85	helianthus divaricatus	helianthus divaricatus	73285									
helianthus giganteus	76							mutualisticWith																			terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Asterales | Asteraceae | Helianthus			depend	C3 photosynthetic plant	multicellular		0.151066	37.6021	85	helianthus giganteus	helianthus giganteus	73288									
helianthus grosseserratus	76					hostOf		mutualisticWith		parasitizedBy	symbiontOf		moderate life span				low tolerance		no			medium (normal)	moderate				terrestrial plant	none	medium (normal)		yes	medium (normal)						terrestrial plant					broad		C3 photosynthetic plant		none				herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Asterales | Asteraceae | Helianthus	tolerance		depend	C3 photosynthetic plant	multicellular		0.151017	37.613	85	helianthus grosseserratus	helianthus grosseserratus	73291									
helianthus hirsutus	76							mutualisticWith																			terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Asterales | Asteraceae | Helianthus			depend	C3 photosynthetic plant	multicellular		0.151045	37.6106	85	helianthus hirsutus	helianthus hirsutus	73293									
