Scientific.Name	countsMT	countsPT	palm	hasEctoparasite	hasEndoparasite	hostOf	isEatenBy	mutualisticWith	parasiteOf	parasitizedBy	symbiontOf	trophic.guild.x	life.span	ecoregion	photosynthetic.rate	locomotion	shade.tolerance	plant.growth.form	grass.growth.type	life.cycle.habit	Mating.System	calcareous.soil.tolerance	growth.rate	eats	motility	ectoparasite.of	ecomorphological.guild	salt.tolerance	drought.tolerance	tissue.contains	germination.requirements	fire.tolerance	developmental.mode	reproduction	Social.System	basal.metabolic.rate	nitrogen.fixation	plant.lifeform	sexual.system	parasitoid.of	pH	number.of.hosts	leaf.morphology	endoparasite.of	photosynthetic.pathway	propagule	anaerobic.soil.tolerance	trophic.level	sexually.dimorphic	litters.per.year	woodiness	has.host	dispersal.age	trophic.guild.y	Ancestry	toleranceGeneral	aquatics	dependency	advancedPhotPathway	unicellularity	HasMSH1	gsize	GCperc	NCBIcount	name	preferred.name	taxid	isEndoparasite	isEctoparasite	water	migration	thermalBiology	hostAge	waveExposed	habitat	intertidal
nymphaea colorata	40																																																						Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Nymphaeales | Nymphaeaceae					multicellular	MSH1	0.617195	45.1101	42	nymphaea colorata	nymphaea colorata	210225								pond	
ophioglossum californicum	36	80																																																					Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Plantaginaceae | Penstemon					multicellular		0.372339	52.218	37	ophioglossum californicum	ophioglossum californicum	1267209								juniper woodland	
oryza minuta	28	76																graminoid																																					Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Poaceae					multicellular		0.515022	44.0449	59	oryza minuta	oryza minuta	63629								tropical	
oryza rufipogon	28	70																graminoid									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Reptilia | Diapsida | Archosauromorpha | Archosauria | Dinosauria | Saurischia | Theropoda | Tetanurae | Coelurosauria | Maniraptoriformes | Maniraptora | Paraves | Aves | Ornithurae | Neornithes | Neognathae | Neoaves | landbirds | Passeriformes | Suboscines | Grallariidae | Grallaricula				C3 photosynthetic plant	multicellular		0.559045	44.0374	41	oryza rufipogon	oryza rufipogon	4529								river bank	
phaseolus vulgaris	31	72					isEatenBy																				terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Fabales | Fabaceae | Phaseolus				C3 photosynthetic plant	multicellular	MSH1	0.395516	45.114	31	phaseolus vulgaris	phaseolus vulgaris	3885								terrestrial	
phlegmariurus squarrosus	34																																																						Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Brassicales | Brassicaceae | Physaria					multicellular		0.41353	44.1641	147	phlegmariurus squarrosus	phlegmariurus squarrosus	73615								desert	
phoenix dactylifera	37	76	palm				isEatenBy									sessile		woody									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Odonata | Zygoptera | Calopterygoidea | Argiolestidae | Austroargiolestes				C3 photosynthetic plant	multicellular	MSH1	0.715001	45.1441	43	phoenix dactylifera	phoenix dactylifera	42345								tropical	
physochlaina orientalis	37	73																																																					Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Solanales | Solanaceae					multicellular		0.684857	44.8123	37	physochlaina orientalis	physochlaina orientalis	451527								valley	
pinus taeda	39	68					isEatenBy				symbiontOf					sessile	low tolerance	woody	no			medium (normal)					terrestrial plant	none	low tolerance		yes	high tolerance						terrestrial plant					spine leaf		C3 photosynthetic plant		medium (normal)				woody				Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Spiralia | Mollusca | Bivalvia | Arcida | Arcoidea | Arcidae | Barbatia	tolerance		depend	C3 photosynthetic plant	multicellular		1.19105	46.6729	39	pinus taeda	pinus taeda	3352								tropical	
platycodon grandiflorus	33	72					isEatenBy	mutualisticWith																			terrestrial plant			latex								terrestrial plant							C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Asterales | Campanulaceae | Platycodon			depend	C3 photosynthetic plant	multicellular		1.24959	43.8897	33	platycodon grandiflorus	platycodon grandiflorus	94286								mountain	
pongamia pinnata	33	74				hostOf	isEatenBy			parasitizedBy	symbiontOf					sessile		woody									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Spiralia | Mollusca | Cephalopoda | Coleoidea | Neocoleoidea | Decapodiformes | Decapodida | Myopsida | Loliginidae | Sepioteuthis			depend	C3 photosynthetic plant	multicellular		0.425718	45.003	37	pongamia pinnata	pongamia pinnata	56065								coastal	
